Branch,College_Tier,Attendance,CGPA,Backlogs,Coding_Skills,DSA_Score,Aptitude_Score,Communication_Score,Internships_Count,Projects_Count,Certifications_Count,Mock_Interview_Score,Placement_Probability,Placement_Status
AIML,Tier 2,99,8.22,1,99,89,79,86,3,4,2,79,89.2,Placed
MECH,Tier 2,97,5.85,4,73,100,42,48,2,6,1,56,12.58,Not Placed
ECE,Tier 3,69,5.84,0,43,40,64,90,2,7,2,79,23.95,Not Placed
CSE,Tier 2,94,9.78,3,56,91,84,59,2,6,0,46,86.88,Placed
CSE,Tier 2,91,6.84,0,43,60,77,79,1,4,7,96,39.71,Not Placed
EEE,Tier 3,66,5.91,3,82,68,84,64,1,3,5,47,17.31,Not Placed
ECE,Tier 1,80,8.2,5,93,45,94,58,3,5,1,92,53.72,Not Placed
CSE,Tier 3,79,8.31,4,65,76,59,44,1,4,7,95,38.32,Not Placed
ECE,Tier 1,85,8.42,5,43,40,91,50,3,4,5,70,32.06,Not Placed
AIML,Tier 3,63,6.7,4,40,90,83,54,0,4,6,98,13.67,Not Placed
IT,Tier 3,81,5.57,0,46,40,84,47,0,4,0,97,11.69,Not Placed
CSE,Tier 2,74,9.84,3,69,66,73,58,1,3,6,51,78.28,Placed
EEE,Tier 1,99,6.63,5,89,60,60,62,0,5,2,87,12.67,Not Placed
AIML,Tier 2,80,8.54,4,48,92,95,66,0,5,7,70,54.55,Not Placed
ECE,Tier 1,74,8.68,1,100,55,94,79,2,1,5,83,85.8,Placed
MECH,Tier 3,81,8.25,1,74,83,87,71,2,4,3,58,81.05,Placed
AIML,Tier 3,87,6.91,5,47,98,62,65,3,4,7,49,18.92,Not Placed
CSE,Tier 1,73,6.72,3,100,100,45,66,0,1,8,78,27.04,Not Placed
ECE,Tier 2,86,8.19,5,63,93,90,58,3,5,9,51,54.75,Not Placed
IT,Tier 2,100,9.4,0,58,79,92,89,3,2,1,59,93.34,Placed
AIML,Tier 2,99,9.76,4,75,65,52,81,0,6,5,76,72.76,Placed
CSE,Tier 2,87,5.98,0,89,55,88,68,1,2,4,87,36.56,Not Placed
EEE,Tier 3,85,6.2,1,91,67,62,78,0,5,4,80,33.71,Not Placed
MECH,Tier 3,61,9.75,4,98,40,48,99,2,7,9,46,82.66,Placed
ECE,Tier 3,84,8.81,5,82,75,56,80,0,4,2,91,49.35,Not Placed
AIML,Tier 3,62,9.47,0,66,49,100,72,1,2,7,93,88.92,Placed
AIML,Tier 3,67,6.41,2,71,82,41,58,3,3,7,97,25.43,Not Placed
IT,Tier 2,92,8.14,3,53,56,58,76,3,3,4,53,44.27,Not Placed
IT,Tier 2,94,8.66,3,96,96,58,58,2,1,7,50,71.84,Placed
EEE,Tier 2,65,8.56,2,57,98,95,72,2,5,9,46,81.37,Placed
MECH,Tier 2,98,7.34,1,67,62,46,86,2,5,7,68,50.29,Not Placed
EEE,Tier 3,82,5.57,4,99,46,93,55,3,2,2,49,13.19,Not Placed
CSE,Tier 3,84,8.12,3,68,83,81,62,2,4,1,68,60.54,Placed
CSE,Tier 3,78,6.64,2,55,92,81,46,0,5,8,48,27.7,Not Placed
EEE,Tier 1,64,7.53,5,74,46,98,65,3,2,1,75,29.81,Not Placed
